Date,Min,Average,Max,First,Last
02.07.2019 0:00,1.12752,1.12922,1.13204,1.12892,1.12842
03.07.2019 0:00,1.127,1.12866,1.13049,1.12905,1.12778
04.07.2019 0:00,1.12737,1.12847,1.12957,1.1279,1.12854
05.07.2019 0:00,1.12079,1.12559,1.12885,1.12856,1.12228
06.07.2019 0:00,1.12309,1.12317,1.12415,1.12415,1.12315
07.07.2019 0:00,1.12181,1.12309,1.12316,1.12315,1.1225
08.07.2019 0:00,1.1207,1.1222,1.12347,1.12276,1.12146
09.07.2019 0:00,1.11949,1.12093,1.12196,1.12166,1.12082
10.07.2019 0:00,1.1202,1.12264,1.12625,1.12084,1.12511
11.07.2019 0:00,1.12466,1.12644,1.12854,1.12536,1.1254
12.07.2019 0:00,1.12393,1.12617,1.12765,1.12537,1.12714
13.07.2019 0:00,1.12875,1.12875,1.12875,1.12875,1.12875
14.07.2019 0:00,1.127,1.1286,1.12875,1.12875,1.127
15.07.2019 0:00,1.12545,1.12686,1.12845,1.12695,1.12579
16.07.2019 0:00,1.12106,1.12477,1.12645,1.12608,1.1216
17.07.2019 0:00,1.12007,1.12173,1.12326,1.12085,1.12259
18.07.2019 0:00,1.12059,1.12349,1.12796,1.12274,1.12759
19.07.2019 0:00,1.12053,1.12433,1.12817,1.12775,1.1222
20.07.2019 0:00,1.12212,1.12335,1.12335,1.12335,1.12335
21.07.2019 0:00,1.12145,1.12319,1.12335,1.12335,1.12159
22.07.2019 0:00,1.12065,1.12165,1.12259,1.12181,1.12092
23.07.2019 0:00,1.11458,1.1179,1.12096,1.12093,1.11545
24.07.2019 0:00,1.11294,1.11443,1.11552,1.11523,1.11421
25.07.2019 0:00,1.10663,1.11407,1.11866,1.11421,1.11465
26.07.2019 0:00,1.11136,1.11373,1.11508,1.11471,1.11284
27.07.2019 0:00,1.1127,1.11475,1.11475,1.11475,1.11475
28.07.2019 0:00,1.1125,1.11459,1.11475,1.11475,1.11261
29.07.2019 0:00,1.11141,1.11311,1.11505,1.11287,1.11455
30.07.2019 0:00,1.11328,1.11457,1.11586,1.11465,1.11558
31.07.2019 0:00,1.10613,1.11395,1.11619,1.11557,1.10754
01.08.2019 0:00,1.10272,1.10555,1.10942,1.10736,1.10828
02.08.2019 0:00,1.1053,1.1094,1.12951,1.10832,1.11135
03.08.2019 0:00,1.11089,1.11295,1.11295,1.11295,1.11295
04.08.2019 0:00,1.1105,1.11276,1.11295,1.11295,1.11069
05.08.2019 0:00,1.11045,1.11552,1.12112,1.11077,1.12032
06.08.2019 0:00,1.11703,1.12059,1.12492,1.12138,1.12007
07.08.2019 0:00,1.11806,1.12081,1.12398,1.12018,1.11986
08.08.2019 0:00,1.11784,1.12049,1.12329,1.1203,1.11807
